&{Date:1442934719 Buy:230.75 Sell:230.99 High:235.09 Low:225.04 Last:230.99 Vol:8827.124 Ema1:230.988861 Ema1Ave:230.967921 DiffAve:0.020940 Diff: Up:UP}
&{Date:1442934722 Buy:230.82 Sell:231.15 High:235.09 Low:225.04 Last:231.0 Vol:8828.564 Ema1:230.990575 Ema1Ave:230.968328 DiffAve:0.022246 Diff: Up:UP}
&{Date:1442934733 Buy:230.89 Sell:230.99 High:235.09 Low:225.04 Last:231.0 Vol:8828.564 Ema1:230.992025 Ema1Ave:230.968860 DiffAve:0.023165 Diff: Up:UP}
{Date:1442934733 Buy:230.89 Sell:230.99 High:235.09 Low:225.04 Last:231.0 Vol:8828.564 Ema1:230.992025 Ema1Ave:230.968860 DiffAve:0.023165 Diff: Up:UP}
&{Date:1442934743 Buy:230.83 Sell:230.99 High:235.09 Low:225.04 Last:231.0 Vol:8829.284 Ema1:230.993252 Ema1Ave:230.969497 DiffAve:0.023755 Diff: Up:UP}
{Date:1442934743 Buy:230.83 Sell:230.99 High:235.09 Low:225.04 Last:231.0 Vol:8829.284 Ema1:230.993252 Ema1Ave:230.969497 DiffAve:0.023755 Diff: Up:UP}
&{Date:1442934754 Buy:230.81 Sell:230.99 High:235.09 Low:225.04 Last:230.94 Vol:8827.214 Ema1:230.985059 Ema1Ave:230.970102 DiffAve:0.014957 Diff: Up:UP}
{Date:1442934754 Buy:230.81 Sell:230.99 High:235.09 Low:225.04 Last:230.94 Vol:8827.214 Ema1:230.985059 Ema1Ave:230.970102 DiffAve:0.014957 Diff: Up:UP}
&{Date:1442934764 Buy:230.89 Sell:231.26 High:235.09 Low:225.04 Last:230.94 Vol:8824.157 Ema1:230.978127 Ema1Ave:230.970669 DiffAve:0.007458 Diff: Up:UP}
{Date:1442934764 Buy:230.89 Sell:231.26 High:235.09 Low:225.04 Last:230.94 Vol:8824.157 Ema1:230.978127 Ema1Ave:230.970669 DiffAve:0.007458 Diff: Up:UP}
{Date:1442934764 Buy:230.89 Sell:231.26 High:235.09 Low:225.04 Last:230.94 Vol:8824.157 Ema1:230.978127 Ema1Ave:230.970669 DiffAve:0.007458 Diff: Up:UP}
&{Date:1442934775 Buy:230.89 Sell:231.12 High:235.09 Low:225.04 Last:230.92 Vol:8824.357 Ema1:230.969184 Ema1Ave:230.971192 DiffAve:-0.002008 Diff: Up:DOWNoverZERO}
{Date:1442934775 Buy:230.89 Sell:231.12 High:235.09 Low:225.04 Last:230.92 Vol:8824.357 Ema1:230.969184 Ema1Ave:230.971192 DiffAve:-0.002008 Diff: Up:DOWNoverZERO}
&{Date:1442934785 Buy:230.86 Sell:230.88 High:235.09 Low:225.04 Last:230.97 Vol:8812.69 Ema1:230.969310 Ema1Ave:230.971789 DiffAve:-0.002480 Diff: Up:DOWN}
&{Date:1442934795 Buy:230.86 Sell:230.88 High:235.09 Low:225.04 Last:230.88 Vol:8813.68 Ema1:230.955570 Ema1Ave:230.972239 DiffAve:-0.016669 Diff: Up:DOWN}
{Date:1442934795 Buy:230.86 Sell:230.88 High:235.09 Low:225.04 Last:230.88 Vol:8813.68 Ema1:230.955570 Ema1Ave:230.972239 DiffAve:-0.016669 Diff: Up:DOWN}
&{Date:1442934806 Buy:230.85 Sell:231.33 High:235.09 Low:225.04 Last:230.94 Vol:8814.73 Ema1:230.953175 Ema1Ave:230.972554 DiffAve:-0.019380 Diff: Up:DOWN}
{Date:1442934806 Buy:230.85 Sell:231.33 High:235.09 Low:225.04 Last:230.94 Vol:8814.73 Ema1:230.953175 Ema1Ave:230.972554 DiffAve:-0.019380 Diff: Up:DOWN}
&{Date:1442934816 Buy:230.99 Sell:231.25 High:235.09 Low:225.04 Last:230.94 Vol:8814.73 Ema1:230.951148 Ema1Ave:230.972755 DiffAve:-0.021607 Diff: Up:DOWN}
{Date:1442934816 Buy:230.99 Sell:231.25 High:235.09 Low:225.04 Last:230.94 Vol:8814.73 Ema1:230.951148 Ema1Ave:230.972755 DiffAve:-0.021607 Diff: Up:DOWN}
&{Date:1442934826 Buy:230.84 Sell:231.2 High:235.09 Low:225.04 Last:231.01 Vol:8814.51 Ema1:230.960202 Ema1Ave:230.972825 DiffAve:-0.012623 Diff: Up:DOWN}
{Date:1442934826 Buy:230.84 Sell:231.2 High:235.09 Low:225.04 Last:231.01 Vol:8814.51 Ema1:230.960202 Ema1Ave:230.972825 DiffAve:-0.012623 Diff: Up:DOWN}
&{Date:1442934836 Buy:230.79 Sell:231.13 High:235.09 Low:225.04 Last:230.97 Vol:8814.65 Ema1:230.961709 Ema1Ave:230.972676 DiffAve:-0.010967 Diff: Up:DOWN}
{Date:1442934836 Buy:230.79 Sell:231.13 High:235.09 Low:225.04 Last:230.97 Vol:8814.65 Ema1:230.961709 Ema1Ave:230.972676 DiffAve:-0.010967 Diff: Up:DOWN}
&{Date:1442934847 Buy:230.84 Sell:230.92 High:235.09 Low:225.04 Last:230.97 Vol:8812.456 Ema1:230.962985 Ema1Ave:230.972484 DiffAve:-0.009500 Diff: Up:DOWN}
{Date:1442934847 Buy:230.84 Sell:230.92 High:235.09 Low:225.04 Last:230.97 Vol:8812.456 Ema1:230.962985 Ema1Ave:230.972484 DiffAve:-0.009500 Diff: Up:DOWN}
&{Date:1442934857 Buy:230.83 Sell:231.14 High:235.09 Low:225.04 Last:230.97 Vol:8813.276 Ema1:230.964064 Ema1Ave:230.972256 DiffAve:-0.008192 Diff: Up:DOWN}
{Date:1442934857 Buy:230.83 Sell:231.14 High:235.09 Low:225.04 Last:230.97 Vol:8813.276 Ema1:230.964064 Ema1Ave:230.972256 DiffAve:-0.008192 Diff: Up:DOWN}
&{Date:1442934868 Buy:230.94 Sell:230.97 High:235.09 Low:225.04 Last:230.98 Vol:8813.665 Ema1:230.966516 Ema1Ave:230.972008 DiffAve:-0.005492 Diff: Up:DOWN}
{Date:1442934868 Buy:230.94 Sell:230.97 High:235.09 Low:225.04 Last:230.98 Vol:8813.665 Ema1:230.966516 Ema1Ave:230.972008 DiffAve:-0.005492 Diff: Up:DOWN}
&{Date:1442934878 Buy:230.89 Sell:230.96 High:235.09 Low:225.04 Last:230.97 Vol:8813.929 Ema1:230.967052 Ema1Ave:230.971556 DiffAve:-0.004504 Diff: Up:DOWN}
{Date:1442934878 Buy:230.89 Sell:230.96 High:235.09 Low:225.04 Last:230.97 Vol:8813.929 Ema1:230.967052 Ema1Ave:230.971556 DiffAve:-0.004504 Diff: Up:DOWN}
&{Date:1442934888 Buy:230.84 Sell:231.33 High:235.09 Low:225.04 Last:230.97 Vol:8813.929 Ema1:230.967506 Ema1Ave:230.971130 DiffAve:-0.003624 Diff: Up:DOWN}
{Date:1442934888 Buy:230.84 Sell:231.33 High:235.09 Low:225.04 Last:230.97 Vol:8813.929 Ema1:230.967506 Ema1Ave:230.971130 DiffAve:-0.003624 Diff: Up:DOWN}
&{Date:1442934898 Buy:230.91 Sell:231.23 High:235.09 Low:225.04 Last:230.95 Vol:8812.859 Ema1:230.964813 Ema1Ave:230.970703 DiffAve:-0.005891 Diff: Up:DOWN}
{Date:1442934898 Buy:230.91 Sell:231.23 High:235.09 Low:225.04 Last:230.95 Vol:8812.859 Ema1:230.964813 Ema1Ave:230.970703 DiffAve:-0.005891 Diff: Up:DOWN}
&{Date:1442934909 Buy:230.77 Sell:231.15 High:235.09 Low:225.04 Last:230.93 Vol:8811.919 Ema1:230.959457 Ema1Ave:230.970408 DiffAve:-0.010951 Diff: Up:DOWN}
{Date:1442934909 Buy:230.77 Sell:231.15 High:235.09 Low:225.04 Last:230.93 Vol:8811.919 Ema1:230.959457 Ema1Ave:230.970408 DiffAve:-0.010951 Diff: Up:DOWN}
&{Date:1442934919 Buy:230.88 Sell:230.92 High:235.09 Low:225.04 Last:230.93 Vol:8811.008 Ema1:230.954925 Ema1Ave:230.970236 DiffAve:-0.015311 Diff: Up:DOWN}
{Date:1442934919 Buy:230.88 Sell:230.92 High:235.09 Low:225.04 Last:230.93 Vol:8811.008 Ema1:230.954925 Ema1Ave:230.970236 DiffAve:-0.015311 Diff: Up:DOWN}
